Station 	Elevation
4499.1	357.23
4502.09	356.93
4505.08	356.82
4508.07	356.89
4511.06	356.93
4514.06	356.93
4517.05	356.94
4520.04	356.95
4523.03	356.86
4526.02	356.95
4529.01	356.99
4532	356.91
4534.99	356.81
4537.98	356.66
4540.97	356.55
4543.96	356.73
4546.95	356.64
4549.94	356.59
4552.93	356.72
4555.92	356.82
4558.91	357.13
4561.9	357.4
4564.89	357.48
4567.88	357.42
4570.87	357.1
4573.86	357.03
4576.85	357.39
4579.84	357.27
4582.83	357.15
4585.82	357.09
4588.81	357.08
4591.8	356.94
4594.79	356.92
4597.78	357.24
4600.77	357.34
4603.76	357.11
4606.75	357.52
4609.74	357.69
4612.73	357.5
4615.72	357.34
4618.71	357.15
4621.7	356.98
4624.69	357.05
4627.68	357.22
4630.67	357.42
4633.66	357.52
4636.65	357.37
4639.65	357.31
4642.64	357.41
4645.63	357.78
4648.62	357.78
4651.61	357.6
4654.6	357.51
4657.59	357.42
4660.58	357.16
4663.57	357.3
4666.56	357.75
4669.55	358.1
4672.54	358.23
4675.53	358.19
4678.52	358.05
4681.51	358.4
4684.5	358.3
4687.49	358.13
4690.48	357.97
4693.47	357.54
4696.46	357.19
4699.45	357.11
4702.44	357.29
4705.43	357.39
4708.42	357.28
4711.41	357.23
4714.4	357.37
4717.39	357.44
4720.38	357.48
4723.37	357.51
4726.36	357.46
4729.35	357.42
4732.34	357.36
4735.33	357.32
4738.32	357.43
4741.31	357.65
4744.3	357.64
4747.29	357.61
4750.28	357.73
4753.27	358.04
4756.26	358.06
4759.25	358.06
4762.24	358.12
4765.23	358.22
4768.23	358.27
4771.22	358.2
4774.21	358.08
4777.2	357.96
4780.19	357.94
4783.18	358.1
4786.17	358.16
4789.16	358.26
4792.15	357.89
4795.14	357.23
4801.12	356.84
4809.76	354.15
4817.98	352.17
4820.88	351.02
4823.41	350.19
4824.62	348.03
4826.68	347.27
4828.52	346.45
4830.39	345.97
4833.56	345.61
4835.85	345.47
4838.46	345.72
4840.9	346.27
4844.71	346.99
4845.82	347.16
4847.47	347.51
4849.17	347.77
4850.75	348.04
4851.94	348.13
4853.43	348.24
4854.49	348.34
4856.1	348.35
4857.56	348.4
4858.98	348.33
4860.18	348.29
4861.6	348.32
4862.45	348.39
4863.77	348.38
4865.63	348.33
4867.06	348.36
4868.91	348.31
4870.9	348.26
4872.94	348.16
4874.85	348.25
4876.44	348.27
4877.8	348.35
4879.21	348.4
4881.75	348.43
4883.06	348.51
4884.57	348.59
4886.16	348.75
4887.61	348.86
4888.74	349.21
4896.5	354.21
4900.48	356.03
4908.25	356.21
4911.23	356.79
4914.21	356.81
4917.18	356.77
4920.16	357.02
4923.13	357.09
4926.11	356.9
4929.09	356.61
4932.06	356.36
